Timestamp,"Kdo jsi, pokud to chceš říct?",Jaké dny a časy ti absolutně NEvyhovují? [Pondělí],Jaké dny a časy ti absolutně NEvyhovují? [Úterý],Jaké dny a časy ti absolutně NEvyhovují? [Středa],Jaké dny a časy ti absolutně NEvyhovují? [Čtvrtek],V jaké roli si zapisuješ kurzy?,Jaké kurzy si chceš zapsat?,"Nějaký jiný kurz, po kterém tvé srdce touží a který nebyl v předchozí otázce?","Jak moc ti záleží na tom, jaký lektor kurz učí? Maš své oblíbené a/nebo neoblíbené učitele? Je v komunitě někdo, kdo by se měl do lektorského týmu co nejdříve přidat? Klidně se rozepiš.","DĚKUJEME MOC ZA VYPLNĚNÍ! Nějaké závěrečné myšlenky? Cokoliv se nevešlo do předchozích odpovědí, sem s tím!"
,,,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20",,,Lead,"LH 3 - Cool Moves and Styling, LH 4 - techničtější, Charleston 2, Balboa Beginners",,,
,,17:30 - 18:40,17:30 - 18:40,17:30 - 18:40,17:30 - 18:40,Follow,"LH 4 - techničtější, LH 4 - filozofičtější, LH 5, Solo - improvizace, Solo - choreografie, Charleston 2, Collegiate Shag 1.5, Collegiate Shag 2, Balboa Intermediate",,,
,,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20",,,"18:50 - 20:00, 20:10 - 21:20",Follow,"LH 4 - techničtější, LH 4 - filozofičtější, Solo - choreografie, Balboa Intermediate, Balboa Advanced, Zumba s Tomem",,,
,,,,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20","17:30 - 18:40, 18:50 - 20:00",Follow,"LH 4 - techničtější, LH 5, Solo - improvizace, Collegiate Shag 1.5, Collegiate Shag 2, Saint Louis Shag 1, Blues 2",,,
,,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20","17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20","17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20","17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20",Je to složitější ,,,,
,,20:10 - 21:20,20:10 - 21:20,"18:50 - 20:00, 20:10 - 21:20",20:10 - 21:20,Lead,"LH 3 - Musicality, LH 3 - Cool Moves and Styling, LH 3 - Charleston, LH 4 - techničtější, LH 4 - filozofičtější, Solo - choreografie, Collegiate Shag 2",,,
,,,,,,Follow,"Charleston 2, Collegiate Shag 1, Collegiate Shag 1.5, Balboa Intermediate",,,
,,,,"17:30 - 18:40, 18:50 - 20:00",,Lead,"LH 4 - techničtější, LH 4 - filozofičtější, Balboa Beginners, Blues 1",,,
,,20:10 - 21:20,20:10 - 21:20,20:10 - 21:20,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20",Follow,"LH 4 - techničtější, LH 4 - filozofičtější, Solo - improvizace",,,
,,,,,20:10 - 21:20,Follow,"LH 4 - techničtější, LH 4 - filozofičtější, LH 5, Solo - improvizace, Airsteps 1, Airsteps 2, Balboa Beginners, Blues 1, Blues 2",,,
,,,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20",,,Lead,"LH 4 - techničtější, LH 5, Charleston 2, Saint Louis Shag 1, Balboa Beginners",,,
,,,,"17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20","17:30 - 18:40, 18:50 - 20:00, 20:10 - 21:20",Follow,"Solo - improvizace, Solo - choreografie, Saint Louis Shag 1, Saint Louis Shag 2",,,
